ID,itemNo,material,Material_Description,PurOrg,Plant,quantity,UoM,UnitPrice,Currency_code,PurchasingGroup,parent_ID
IT001,10,LAPTOP-HP,HP Business Laptop,PO01,PL01,5,EA,50000,INR,IT,8e359dfb-2e91-4745-8ab1-41d9f826fc7e
IT002,20,MOUSE-LOG,Wireless Mouse,PO01,PL01,5,EA,800,INR,IT,8e359dfb-2e91-4745-8ab1-41d9f826fc7e
IT003,30,BAG-DELL,Laptop Carry Bag,PO01,PL01,5,EA,1200,INR,IT,8e359dfb-2e91-4745-8ab1-41d9f826fc7e

IT004,10,DESK-OFFICE,Office Desk,PO02,PL02,10,EA,3500,INR,ADMIN,8e359dfb-2e91-4745-8ab1-41d9f826fc7f
IT005,20,CHAIR-OFFICE,Office Chair,PO02,PL02,10,EA,2000,INR,ADMIN,8e359dfb-2e91-4745-8ab1-41d9f826fc7f
IT006,30,CABINET,Storage Cabinet,PO02,PL02,5,EA,3000,INR,ADMIN,8e359dfb-2e91-4745-8ab1-41d9f826fc7f

IT007,10,SWITCH-NET,Network Switch,PO03,PL03,2,EA,45000,INR,NETWORK,PO003
IT008,20,ROUTER-NET,Enterprise Router,PO03,PL03,1,EA,30000,INR,NETWORK,PO003
IT009,30,CABLE-NET,LAN Cable Roll,PO03,PL03,5,EA,2000,INR,NETWORK,PO003

IT010,10,PEN-BLUE,Blue Ball Pens,PO04,PL04,50,EA,10,INR,ADMIN,PO004
IT011,20,NOTEBOOK,Spiral Notebook,PO04,PL04,30,EA,50,INR,ADMIN,PO004
IT012,30,MARKER,Whiteboard Markers,PO04,PL04,10,EA,80,INR,ADMIN,PO004

IT013,10,VS-LICENSE,Visual Studio License,PO05,PL05,10,EA,6000,INR,IT,PO005
IT014,20,OFFICE-LICENSE,MS Office License,PO05,PL05,10,EA,3000,INR,IT,PO005
IT015,30,ANTIVIRUS,Antivirus License,PO05,PL05,10,EA,1500,INR,IT,PO005
